idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,50.0,53.0,85000,95740,95740,92602,8487,9060460,1083015,32067020,18460760,17283124,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,0.0,0.0,189000,116920,116920,0,0,0,0,121676055,110742075,28003025,0
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,100.0,100.0,110000,107680,107680,0,0,0,0,114871390,114871392,62299208,143664
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,64.0,64.0,59000,94900,94900,0,0,0,0,56160375,56160375,30974659,1460
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,70.0,70.0,95000,74760,74760,0,0,0,0,71419110,71419110,54386099,180446
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,63.0,63.0,90000,107960,107960,0,0,0,0,62903475,62903475,38716499,8510925
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,67.0,67.0,116000,112040,112040,0,0,0,0,72987150,72987150,36246688,10639980
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,51.0,62.0,125000,84720,84720,0,0,0,0,34789575,34789575,32542278,3327440
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,54.0,62.0,115000,109800,109800,0,0,0,0,45687040,45687040,21338924,1000000
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,171.0,168.0,290000,244950,244950,0,0,0,0,34358580,34358580,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,156.0,168.0,253000,183480,183480,0,0,0,0,31986820,31986820,0,0
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,157.0,157.0,242000,253840,253840,0,0,0,0,31040725,31040725,1086648,1086648
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,150.0,165.0,195000,207260,207260,0,0,0,0,80654355,80654355,4013754,1502106
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,177.0,177.0,230000,243800,243800,0,0,0,0,33090630,33090630,2511648,1425000
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,182.0,182.0,213000,191880,191880,0,0,0,0,139455032,139455032,9632774,4950064
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,194.0,189.0,215312,221290,221290,0,0,0,0,187416658,187416660,12119072,1110184
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,0.0,0.0,268000,204990,204990,0,0,0,0,128171556,127643556,5645560,114024
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,117.0,121.0,155000,123000,35163,35163,0,3823930,0,29266630,2899700,0,0
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,125.0,125.0,215000,221300,221300,215787,215787,24012790,24012790,38671740,38671740,0,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,140.0,142.0,235000,182260,182260,177063,177063,16345290,16345290,37154040,37154040,0,0
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,104.0,104.0,185000,180980,180980,176544,176544,27410950,27410950,24380110,24380110,0,0
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,104.0,104.0,197000,171460,171460,331390,331390,23053645,23053645,20444900,20444900,0,0
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,120.0,120.0,168000,158360,158360,0,0,0,0,24945515,24945515,0,0
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233007,BODAL,0.0,0.0,0,0,0,0,0,0,0,72950190,56647515,8707800,70620
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,0.0,0.0,0,0,0,0,0,0,0,0,0,12189710,976740
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,81.0,81.0,126000,127120,127120,0,0,0,0,19299955,19299955,28912860,421830
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,54.0,56.0,80000,61260,61260,60038,60038,4467275,4467275,12713085,12713085,27891030,24420
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,57.0,59.0,116000,91080,91080,177724,177724,11692635,11692635,11828580,11828580,28491030,600000
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,58.0,58.0,85000,61720,61720,60558,60558,1992145,1992145,16521800,16324575,23222175,0
