Date,Station,Pluie_mm
2019-08-21,Guider,3.0
2019-08-23,Guider,10.0
2019-08-25,Guider,1.0
2019-08-28,Guider,50.0
2019-08-31,Guider,12.0
2019-09-02,Guider,6.0
2019-09-03,Guider,8.0
2019-09-06,Guider,30.0
2019-09-08,Guider,3.0
2019-09-13,Guider,30.0
2019-09-14,Guider,5.0
2019-09-15,Guider,7.0
2019-09-16,Guider,1.0
2019-09-23,Guider,1.0
2019-09-28,Guider,22.0
2019-09-29,Guider,6.0
2019-10-03,Guider,7.0
2019-10-08,Guider,7.0
2019-10-09,Guider,11.0
2019-10-11,Guider,10.0
2019-10-14,Guider,10.0
2019-10-15,Guider,1.0
2019-10-18,Guider,16.0
2019-10-20,Guider,10.0
2019-10-23,Guider,6.0
2019-10-25,Guider,30.0
2019-10-26,Guider,33.0
2020-04-24,Guider,3.0
2020-04-30,Guider,1.0
2020-05-02,Guider,4.0
2020-05-03,Guider,1.0
2020-05-09,Guider,10.0
2020-05-10,Guider,1.0
2020-05-12,Guider,5.0
2020-05-13,Guider,9.0
2020-05-24,Guider,20.0
2020-05-27,Guider,17.0
2020-05-29,Guider,7.0
2020-06-01,Guider,19.0
2020-06-05,Guider,7.0
2020-06-10,Guider,17.0
2020-06-12,Guider,13.0
2020-06-16,Guider,6.0
2020-06-17,Guider,48.0
2020-06-19,Guider,19.0
2020-06-21,Guider,1.0
2020-06-25,Guider,42.0
2020-06-28,Guider,4.0
2020-07-14,Guider,40.0
2020-07-19,Guider,3.0
2020-07-23,Guider,12.0
2020-07-26,Guider,33.0
2020-07-29,Guider,45.0
2020-08-02,Guider,19.0
2020-08-04,Guider,2.0
2020-08-13,Guider,16.0
2020-08-16,Guider,3.0
2020-08-18,Guider,2.0
2020-08-19,Guider,11.0
2020-08-20,Guider,4.0
2020-08-22,Guider,13.0
2020-08-25,Guider,31.0
2020-08-28,Guider,8.0
2020-08-30,Guider,16.0
2020-08-31,Guider,4.0
2020-09-02,Guider,4.0
2020-09-05,Guider,25.0
2020-09-10,Guider,17.0
2020-09-13,Guider,5.0
2020-09-14,Guider,9.0
2020-09-16,Guider,44.0
2020-09-19,Guider,5.0
2020-09-20,Guider,46.0
2020-09-25,Guider,26.0
2020-09-28,Guider,33.0
2020-10-02,Guider,19.0
2020-10-05,Guider,6.0
2020-10-08,Guider,3.0
2020-10-13,Guider,8.0
2021-04-13,Guider,3.0
2021-05-01,Guider,18.0
2021-05-02,Guider,42.0
2021-05-09,Guider,5.0
2021-05-13,Guider,2.0
2021-05-14,Guider,11.0
2021-05-15,Guider,3.0
2021-05-17,Guider,1.0
2021-05-31,Guider,8.0
2021-06-04,Guider,35.0
2021-06-07,Guider,12.0
2021-06-10,Guider,5.0
2021-06-11,Guider,4.0
2021-06-15,Guider,2.0
2021-06-17,Guider,23.0
2021-06-21,Guider,21.0
2021-06-22,Guider,24.0
2021-06-25,Guider,18.0
2021-06-26,Guider,3.0
2021-06-29,Guider,1.0
2021-07-02,Guider,29.0
2021-07-07,Guider,2.0
2021-07-08,Guider,1.0
2021-07-09,Guider,9.0
2021-07-11,Guider,22.0
2021-07-14,Guider,11.0
2021-07-16,Guider,1.0
2021-07-20,Guider,18.0
2021-07-22,Guider,87.0
2021-07-29,Guider,30.0
2021-07-31,Guider,3.0
2021-08-01,Guider,39.0
2021-08-05,Guider,7.0
2021-08-06,Guider,6.0
2021-08-07,Guider,12.0
2021-08-08,Guider,10.0
2021-08-10,Guider,26.0
2021-08-11,Guider,87.0
2021-08-14,Guider,35.0
2021-08-15,Guider,5.0
2021-08-16,Guider,16.0
2021-08-17,Guider,44.0
2021-08-18,Guider,5.0
2021-08-19,Guider,40.0
2021-08-20,Guider,4.0
2021-08-25,Guider,17.0
2021-08-28,Guider,50.0
2021-08-30,Guider,14.0
2021-09-04,Guider,4.0
2021-09-08,Guider,52.0
2021-09-11,Guider,1.0
2021-09-13,Guider,3.0
2021-09-16,Guider,4.0
