Date,Station,Pluie_mm
2014-09-07,Guider,0.0
2014-09-08,Guider,0.0
2014-09-09,Guider,0.0
2014-09-10,Guider,0.0
2014-09-11,Guider,12.0
2014-09-12,Guider,0.0
2014-09-13,Guider,33.0
2014-09-14,Guider,5.0
2014-09-15,Guider,3.0
2014-09-16,Guider,0.0
2014-09-17,Guider,0.0
2014-09-18,Guider,7.0
2014-09-19,Guider,0.0
2014-09-20,Guider,0.0
2014-09-21,Guider,2.0
2014-09-22,Guider,22.0
2014-09-23,Guider,0.0
2014-09-24,Guider,0.0
2014-09-25,Guider,0.0
2014-09-26,Guider,0.0
2014-09-27,Guider,30.0
2014-09-28,Guider,30.0
2014-09-29,Guider,11.0
2014-09-30,Guider,2.0
2014-10-01,Guider,5.0
2014-10-02,Guider,0.0
2014-10-03,Guider,0.0
2014-10-04,Guider,0.0
2014-10-05,Guider,3.0
2014-10-06,Guider,0.0
2014-10-07,Guider,0.0
2014-10-08,Guider,0.0
2014-10-09,Guider,8.0
2014-10-10,Guider,0.0
2014-10-11,Guider,6.0
2014-10-12,Guider,0.0
2014-10-13,Guider,10.0
2014-10-14,Guider,0.0
2014-10-15,Guider,7.0
2014-10-16,Guider,0.0
2014-10-17,Guider,0.0
2014-10-18,Guider,0.0
2014-10-19,Guider,0.0
2014-10-20,Guider,0.0
2014-10-21,Guider,0.0
2014-10-22,Guider,0.0
2014-10-23,Guider,0.0
2014-10-24,Guider,0.0
2014-10-25,Guider,0.0
2014-10-26,Guider,0.0
2014-10-27,Guider,10.0
2014-10-28,Guider,0.0
2014-10-29,Guider,0.0
2014-10-30,Guider,0.0
2014-10-31,Guider,0.0
2014-11-01,Guider,0.0
2014-11-02,Guider,0.0
2014-11-03,Guider,0.0
2014-11-04,Guider,0.0
2014-11-05,Guider,0.0
2014-11-06,Guider,0.0
2014-11-07,Guider,0.0
2014-11-08,Guider,0.0
2014-11-09,Guider,0.0
2014-11-10,Guider,0.0
2014-11-11,Guider,0.0
2014-11-12,Guider,0.0
2014-11-13,Guider,0.0
2014-11-14,Guider,0.0
2014-11-15,Guider,0.0
2014-11-16,Guider,0.0
2014-11-17,Guider,0.0
2014-11-18,Guider,0.0
2014-11-19,Guider,0.0
2014-11-20,Guider,0.0
2014-11-21,Guider,0.0
2014-11-22,Guider,0.0
2014-11-23,Guider,0.0
2014-11-24,Guider,0.0
2014-11-25,Guider,0.0
2014-11-26,Guider,0.0
2014-11-27,Guider,0.0
2014-11-28,Guider,0.0
2014-11-29,Guider,0.0
2014-11-30,Guider,0.0
2014-12-01,Guider,0.0
2014-12-02,Guider,0.0
2015-03-26,Guider,0.0
2015-03-27,Guider,0.0
2015-03-28,Guider,0.0
2015-03-29,Guider,0.0
2015-03-30,Guider,0.0
2015-03-31,Guider,0.0
2015-04-01,Guider,0.0
2015-04-02,Guider,0.0
2015-04-03,Guider,0.0
2015-04-04,Guider,0.0
2015-04-05,Guider,0.0
2015-04-06,Guider,0.0
2015-04-07,Guider,0.0
2015-04-08,Guider,0.0
2015-04-09,Guider,0.0
2015-04-10,Guider,0.0
2015-04-11,Guider,0.0
2015-04-12,Guider,0.0
2015-04-13,Guider,0.0
2015-04-14,Guider,0.0
2015-04-15,Guider,0.0
2015-04-16,Guider,0.0
2015-04-17,Guider,0.0
2015-04-18,Guider,0.0
2015-04-19,Guider,0.0
2015-04-20,Guider,0.0
2015-04-21,Guider,0.0
2015-04-22,Guider,0.0
2015-04-23,Guider,0.0
2015-04-24,Guider,0.0
2015-04-25,Guider,0.0
2015-04-26,Guider,0.0
2015-04-27,Guider,0.0
2015-04-28,Guider,0.0
2015-04-29,Guider,0.0
2015-04-30,Guider,0.0
2015-05-01,Guider,0.0
2015-05-02,Guider,0.0
2015-05-03,Guider,0.0
2015-05-04,Guider,0.0
2015-05-05,Guider,0.0
2015-05-06,Guider,0.0
2015-05-07,Guider,0.0
2015-05-08,Guider,0.0
2015-05-09,Guider,0.0
2015-05-10,Guider,0.0
2015-05-11,Guider,0.0
2015-05-12,Guider,0.0
2015-05-13,Guider,0.0
2015-05-14,Guider,0.0
2015-05-15,Guider,0.0
2015-05-16,Guider,0.0
2015-05-17,Guider,0.0
2015-05-18,Guider,0.0
2015-05-19,Guider,0.0
2015-05-20,Guider,0.0
2015-05-21,Guider,0.0
2015-05-22,Guider,0.0
2015-05-23,Guider,0.0
2015-05-24,Guider,0.0
2015-05-25,Guider,0.0
2015-05-26,Guider,0.0
2015-05-27,Guider,0.0
2015-05-28,Guider,0.0
2015-05-29,Guider,0.0
2015-05-30,Guider,0.0
2015-05-31,Guider,0.0
2015-06-01,Guider,0.0
2015-06-02,Guider,0.0
2015-06-03,Guider,0.0
2015-06-04,Guider,0.0
2015-06-05,Guider,0.0
2015-06-06,Guider,0.0
2015-06-07,Guider,0.0
2015-06-08,Guider,0.0
2015-06-09,Guider,0.0
2015-06-10,Guider,0.0
2015-06-11,Guider,0.0
2015-06-12,Guider,0.0
2015-06-13,Guider,0.0
2015-06-14,Guider,0.0
2015-06-15,Guider,0.0
2015-06-16,Guider,0.0
2015-06-17,Guider,0.0
2015-06-18,Guider,0.0
2015-06-19,Guider,0.0
2015-06-20,Guider,0.0
2015-06-21,Guider,0.0
2015-06-22,Guider,0.0
2015-06-23,Guider,0.0
2015-06-24,Guider,0.0
2015-06-25,Guider,0.0
2015-06-26,Guider,0.0
2015-06-27,Guider,0.0
2015-06-28,Guider,0.0
2015-06-29,Guider,0.0
2015-06-30,Guider,0.0
2015-07-01,Guider,0.0
2015-07-02,Guider,0.0
2015-07-03,Guider,0.0
2015-07-04,Guider,0.0
2015-07-05,Guider,0.0
2015-07-06,Guider,0.0
2015-07-07,Guider,0.0
2015-07-08,Guider,0.0
2015-07-09,Guider,0.0
2015-07-10,Guider,0.0
2015-07-11,Guider,0.0
2015-07-12,Guider,0.0
2015-07-13,Guider,0.0
2015-07-14,Guider,0.0
2015-07-15,Guider,0.0
2015-07-16,Guider,0.0
2015-07-17,Guider,0.0
2015-07-18,Guider,0.0
2015-07-19,Guider,0.0
2015-07-20,Guider,0.0
2015-07-21,Guider,0.0
2015-07-22,Guider,0.0
2015-07-23,Guider,0.0
2015-07-24,Guider,0.0
2015-07-25,Guider,0.0
2015-07-26,Guider,0.0
2015-07-27,Guider,0.0
2015-07-28,Guider,0.0
2015-07-29,Guider,0.0
2015-07-30,Guider,0.0
2015-07-31,Guider,0.0
2015-08-01,Guider,0.0
2015-08-02,Guider,0.0
2015-08-03,Guider,0.0
2015-08-04,Guider,0.0
2015-08-05,Guider,0.0
2015-08-06,Guider,0.0
2015-08-07,Guider,0.0
2015-08-08,Guider,0.0
2015-08-09,Guider,0.0
2015-08-10,Guider,0.0
2015-08-11,Guider,0.0
2015-08-12,Guider,0.0
